,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,1,0,0.013888888888888888,0,2,0,0,0,1,2,0.11542288557213931,0.001275098084468036
1,0,0,0,0.4722222222222222,2,0,2,0,1,0,3,0.3850746268656716,0.21586660512347106
2,0,0,0,0.027777777777777776,2,2,0,0,0,1,3,0.35422885572139307,0.010310408492960998
3,0,0,0,0.625,2,0,2,2,1,0,0,0.23930348258706463,0.21024117239787676
4,0,0,0,0.027777777777777776,0,0,0,0,0,1,2,0.5218905472636816,0.015330025386568198
5,0,0,0,0.1111111111111111,0,0,2,0,0,1,2,0.8099502487562189,0.09251096238172168
6,0,0,1,0.3055555555555555,0,2,0,0,0,1,1,0.7049751243781094,0.22277867528271408
7,0,0,0,0.1388888888888889,2,0,0,0,0,0,3,0.11442786069651739,0.032667897530579276
8,0,1,0,0.38888888888888884,0,0,2,2,0,1,2,0.8611940298507462,0.3493249480729287
9,0,0,1,0.861111111111111,2,2,0,0,1,0,0,0.3771144278606965,0.4003173321024694
10,0,1,1,0.18055555555555555,2,0,0,0,0,1,3,0.3154228855721393,0.06561850911608587
11,0,0,0,0.2222222222222222,1,1,1,1,2,0,1,0.006965174129353213,0.035541195476575124
12,0,1,0,0.8055555555555555,0,0,2,0,1,0,1,0.8169154228855721,0.6533925686591276
13,0,0,0,0.6805555555555555,0,2,2,0,0,1,0,0.8502487562189055,0.578986845141934
14,0,0,0,0.3472222222222222,2,0,2,2,0,1,2,0.8681592039800995,0.30778329102238633
15,0,1,1,0.9583333333333333,2,2,2,2,2,0,1,0.945273631840796,0.9088795291945534
16,0,0,0,0.7222222222222222,1,1,1,1,1,0,3,0.023880597014925342,0.11587237479806141
17,0,0,1,0.986111111111111,2,0,2,0,2,0,0,0.8800995024875623,0.8496942072467113
18,0,1,1,0.1388888888888889,0,0,2,2,0,0,1,0.36766169154228856,0.05879875375028849
19,0,0,0,0.29166666666666663,0,2,2,0,0,1,2,0.7144278606965173,0.2127971382414032
20,1,0,0,0.013888888888888888,0,0,2,0,0,1,2,0.21293532338308457,0.0024059543041772442
21,0,1,0,0.16666666666666666,1,1,1,1,1,0,0,0.015422885572139305,0.02116893607200554
22,0,0,0,0.013888888888888888,1,1,1,1,0,0,3,0.018905472636815884,0.00015578121393953342
23,0,1,0,0.8055555555555555,0,2,0,2,2,1,1,0.4144278606965174,0.4022963304869605
24,0,1,1,0.6805555555555555,2,2,0,2,0,0,1,0.4114427860696518,0.34058389106854375
25,0,0,0,0.41666666666666663,2,2,0,0,0,1,0,0.3686567164179104,0.17445188091391645
26,0,1,1,0.6527777777777778,0,2,0,0,0,1,2,0.8069651741293532,0.545851603969536
27,0,1,1,0.013888888888888888,0,2,0,0,0,0,2,0.11890547263681589,0.0013154858066005077
28,0,1,0,1.0,2,2,2,2,2,1,1,0.7164179104477612,0.7328236787445188
29,0,0,1,0.2361111111111111,0,0,0,0,0,1,3,0.4621890547263682,0.12396722824832679
30,1,1,0,0.986111111111111,2,2,2,2,2,1,1,0.7771144278606964,0.778692591737826
31,1,1,0,0.027777777777777776,0,0,2,0,0,1,1,0.7686567164179104,0.01879183014078006
32,0,1,1,0.375,2,2,2,2,1,0,3,0.47661691542288565,0.21412993307177478
33,0,0,0,0.013888888888888888,1,1,1,1,0,0,0,0.019402985074626844,0.0001615508885298867
34,1,0,0,0.013888888888888888,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792
35,0,1,1,1.0,2,2,0,2,2,0,0,0.8124378109452737,0.8346295868912993
36,0,0,0,0.06944444444444445,0,0,0,0,0,1,2,0.5119402985074627,0.034398799907685206
37,0,0,0,0.6388888888888888,0,0,2,0,0,1,1,0.5626865671641791,0.40728132933302563
38,0,0,0,0.4722222222222222,0,2,2,0,0,1,2,0.8766169154228854,0.4073909531502423
39,0,0,0,0.15277777777777776,0,0,2,0,0,1,0,0.7920398009950248,0.12538656819755367
40,0,1,1,0.1388888888888889,0,2,0,0,1,0,3,0.3114427860696517,0.05272328640664667
41,0,1,1,0.9722222222222222,2,2,0,0,2,1,1,0.5069651741293533,0.5600680821601662
42,0,1,1,0.2361111111111111,1,1,1,1,1,0,3,0.02487562189054726,0.04609393030233095
43,0,0,0,0.875,2,2,2,2,2,1,1,0.6129353233830845,0.5588102930994692
44,0,1,0,0.18055555555555555,2,2,0,2,0,1,2,0.5766169154228856,0.11108354488806832
45,0,0,0,0.6805555555555555,0,0,0,0,0,1,2,0.6592039800995024,0.44863835679667663
46,0,0,0,0.027777777777777776,0,2,0,0,0,0,3,0.30845771144278605,0.009023771059312256
47,0,0,0,0.027777777777777776,0,0,0,0,0,1,2,0.6208955223880598,0.014464574198015234
48,0,0,0,0.7222222222222222,2,0,0,2,2,1,1,0.6119402985074627,0.4845372720978537
49,0,1,1,0.9583333333333333,2,0,2,2,2,1,1,0.4567164179104478,0.4887260558504501
50,1,0,0,0.5972222222222222,0,2,0,0,0,1,2,0.7164179104477612,0.4407973690283868
51,0,0,0,0.20833333333333331,2,2,0,0,0,1,1,0.8044776119402984,0.1624278790676206
52,1,1,0,0.3472222222222222,2,0,0,2,0,1,1,0.5099502487562189,0.2000750057696746
53,1,1,0,0.1111111111111111,0,2,0,0,0,1,1,0.6208955223880598,0.07090930071543965
54,1,1,1,0.8333333333333333,2,2,2,2,1,1,1,0.56318407960199,0.5120643895684284
55,1,0,0,0.25,0,0,0,0,0,1,2,0.7681592039800995,0.20006346642049389
56,0,1,1,0.875,2,0,0,0,1,1,1,0.8099502487562189,0.7261020078467574
57,1,1,1,0.9166666666666666,0,2,2,2,1,1,2,0.8975124378109453,0.8143953381029311
58,0,1,1,0.4722222222222222,1,1,1,1,2,0,1,0.06666666666666665,0.10102700207708286
59,0,0,0,1.0,0,0,2,2,2,1,1,0.8880597014925372,0.9040964689591507
60,0,1,0,0.6527777777777778,0,0,2,0,0,1,2,0.818407960199005,0.5409993076390492
61,0,0,0,0.8333333333333333,0,2,0,0,0,1,0,0.7129353233830846,0.6268059081467805
62,0,1,0,1.0,2,2,2,0,2,0,0,0.2373134328358209,0.3396261250865451
63,0,1,1,0.25,0,0,2,2,1,1,1,0.3597014925373134,0.10827371336256636
64,0,0,0,0.125,0,0,0,0,0,0,2,0.7577114427860697,0.0967516732056312
65,0,0,0,0.041666666666666664,0,2,0,2,0,1,2,0.5676616915422885,0.025998153704131086
66,0,1,0,0.6527777777777778,0,2,0,0,1,1,2,0.6034825870646766,0.41905723517193627
67,0,0,0,0.4305555555555555,0,2,2,2,2,0,3,0.6064676616915423,0.28599123009462263
68,0,1,1,0.6944444444444444,1,1,1,1,2,0,0,0.018905472636815884,0.10525040387722133
69,0,0,0,0.1388888888888889,2,0,2,0,0,1,3,0.6129353233830845,0.10022501730902378
70,0,0,0,0.013888888888888888,0,0,0,2,0,0,3,0.30646766169154227,0.0034906531271636275
71,0,1,1,0.7222222222222222,1,1,1,1,1,1,2,0.021393034825870627,0.12368451419339951
72,1,1,1,0.8888888888888888,2,0,2,2,2,1,0,0.9288557213930347,0.8170090006923609
73,0,1,1,0.861111111111111,1,1,1,1,2,1,0,0.05970149253731341,0.16222017078236786
74,0,0,1,0.041666666666666664,2,0,0,2,0,1,0,0.46019900497512434,0.018301407800600047
75,1,0,0,0.7777777777777777,2,2,2,0,1,0,2,0.917910447761194,0.7062889453034848
76,0,0,0,0.6388888888888888,0,0,0,0,1,0,1,0.37213930348258706,0.30810639279944607
77,0,1,1,0.1111111111111111,2,2,0,0,0,0,3,0.3621890547263681,0.05347911377798293
78,1,0,0,0.41666666666666663,2,2,0,0,0,1,2,0.5621890547263682,0.24146088160627743
79,0,1,1,0.625,1,1,1,1,1,1,1,0.07611940298507458,0.13821832448649896
80,0,0,1,0.013888888888888888,0,0,0,0,0,1,2,0.607960199004975,0.006987075928917609
81,0,1,1,0.15277777777777776,2,0,0,0,0,0,2,0.32139303482587056,0.06306831294714979
82,0,1,0,0.09722222222222221,0,0,2,0,0,1,0,0.5661691542288557,0.055169628432956384
83,0,0,0,0.5833333333333333,0,2,2,2,0,1,0,0.8512437810945274,0.4971959381490884
84,0,1,0,0.6805555555555555,1,1,1,1,2,1,0,0.018905472636815884,0.11014885760443112
85,0,0,0,0.125,0,2,0,0,0,1,1,0.8064676616915423,0.10384837295176552
86,0,1,0,0.4861111111111111,2,0,0,0,1,1,0,0.43681592039800987,0.2534791137779829
87,0,1,1,0.6666666666666666,1,1,1,1,2,0,0,0.023880597014925342,0.11980152319409186
88,0,1,1,0.6388888888888888,1,1,1,1,2,1,3,0.01691542288557213,0.1048119086083545
89,0,1,0,0.40277777777777773,0,0,0,0,0,0,3,0.154228855721393,0.11429148396030464
90,0,1,1,0.41666666666666663,0,2,2,0,0,0,0,0.6348258706467661,0.29441495499653814
91,1,0,0,0.013888888888888888,0,0,0,2,0,0,2,0.5616915422885572,0.006450496192014771
92,0,1,1,0.9166666666666666,2,0,2,2,2,1,3,0.654228855721393,0.6572178629125317
93,0,0,0,0.9027777777777777,2,2,2,0,0,1,1,0.9233830845771144,0.8179321486268175
94,0,0,0,1.0,0,2,2,0,2,1,0,0.8223880597014926,0.8585564274174937
95,0,0,0,0.16666666666666666,2,0,0,0,0,1,2,0.6039800995024875,0.10484075698130627
96,0,1,1,0.986111111111111,2,2,0,2,1,1,1,0.4835820895522387,0.545799676898223
97,0,0,0,0.06944444444444445,1,1,1,1,0,0,3,0.027860696517412936,0.010968151396261252
98,0,0,0,0.7222222222222222,1,1,1,1,2,0,0,0.027363184079601977,0.12559427648280638
99,1,1,0,0.3472222222222222,0,2,2,0,0,1,2,0.7985074626865671,0.2879875375028848
100,0,0,0,0.013888888888888888,1,1,1,1,0,0,3,0.019402985074626844,0.0001615508885298867
101,0,1,1,0.013888888888888888,1,1,1,1,0,0,2,0.011940298507462671,7.500576967459007e-05
102,0,0,0,0.5277777777777778,0,0,2,2,1,0,0,0.763681592039801,0.41389337641357027
103,1,1,0,0.9166666666666666,0,2,2,0,1,0,0,0.2716417910447761,0.3471555504269559
104,0,1,0,0.9444444444444444,0,2,2,2,2,1,0,0.9129353233830845,0.8761885529656128
105,0,0,0,0.06944444444444445,0,0,0,0,0,0,3,0.06019900497512437,0.009393030233094853
106,0,1,1,1.0,2,2,0,0,1,1,2,0.854726368159204,0.840555042695592
107,0,0,0,0.4444444444444444,2,0,0,0,1,0,3,0.11840796019900496,0.10487537502884837
108,0,0,0,0.5972222222222222,0,0,0,0,1,0,3,0.7572139303482587,0.4503231017770598
109,0,1,1,1.0,1,1,1,1,2,0,1,0.011442786069651711,0.15514078006000462
110,0,1,0,0.7638888888888888,2,2,0,0,0,1,2,0.7810945273631841,0.6023655665820448
111,0,0,0,0.7222222222222222,2,0,2,2,1,0,1,0.3950248756218906,0.34888645280406183
112,0,0,0,0.5972222222222222,0,2,2,0,0,1,2,0.7303482587064677,0.45410800830833137
113,1,1,0,0.5138888888888888,0,0,0,0,0,1,2,0.5796019900497512,0.3287964458804523
114,0,1,1,0.8888888888888888,0,2,0,2,2,1,2,0.36169154228855727,0.3928802215555043
115,0,1,1,0.041666666666666664,2,2,0,0,0,0,2,0.7124378109452736,0.026494345718901455
116,0,0,0,0.5,2,0,0,0,2,0,0,0.127363184079602,0.12780406185091162
117,0,1,1,0.1388888888888889,2,0,0,0,0,1,2,0.8159203980099502,0.12068428340641589
118,0,0,0,0.5694444444444444,1,1,1,1,2,0,3,0.023880597014925342,0.09420147703669514
119,0,1,1,0.375,0,2,0,2,0,1,1,0.6661691542288557,0.24611123932610202
120,0,1,1,0.7777777777777777,0,0,2,0,1,1,1,0.8114427860696517,0.6342776367412878
121,0,0,0,0.08333333333333333,1,1,1,1,0,0,3,0.024378109452736302,0.010841218555273483
122,0,0,0,0.041666666666666664,0,0,0,0,0,1,2,0.5587064676616916,0.024319178398338335
123,0,1,1,0.09722222222222221,2,0,0,0,0,0,3,0.32288557213930347,0.03825871220863144
124,0,1,1,0.05555555555555555,1,1,1,1,0,0,3,0.025870646766169153,0.005088852988691437
125,0,0,0,0.4583333333333333,2,0,0,2,2,1,2,0.7034825870646766,0.34720170782367876
126,1,0,0,0.375,0,0,2,0,0,1,2,0.5950248756218905,0.24425340410800833
127,0,1,0,1.0,1,1,1,1,2,1,0,0.0527363184079602,0.1967632125548119
128,0,0,0,0.013888888888888888,1,1,1,1,0,0,3,0.014925373134328346,0.0001096238172167089
129,1,0,0,0.986111111111111,2,2,0,0,1,1,2,0.3800995024875622,0.4577140549273021
130,0,0,0,0.18055555555555555,0,0,0,0,0,1,2,0.6736318407960199,0.13810870066928227
131,0,1,1,0.3472222222222222,2,2,2,0,0,1,1,0.4014925373134328,0.1712266328179091
132,0,0,0,0.9305555555555555,0,0,0,2,2,0,0,0.32139303482587056,0.3740249249942303
133,0,0,0,0.013888888888888888,0,0,0,0,0,1,2,0.17114427860696518,0.0019213016385875841
134,0,0,0,0.027777777777777776,0,0,0,0,0,0,2,0.25970149253731345,0.007206323563351027
135,0,0,0,0.5972222222222222,1,1,1,1,2,1,1,0.07412935323383085,0.13494114931917842
136,0,0,0,0.3194444444444444,2,0,0,0,0,1,0,0.5646766169154228,0.20305792753288715
137,0,1,1,0.8888888888888888,1,1,1,1,2,0,3,0.019402985074626844,0.14527463651050082
138,0,0,1,0.7916666666666666,1,1,1,1,2,1,3,0.013432835820895522,0.13290445418878374
139,1,1,0,0.013888888888888888,0,0,0,0,0,1,3,0.5194029850746269,0.005960073851834756
140,1,1,1,1.0,2,2,2,2,2,1,1,0.6945273631840796,0.7393087929840757
141,0,0,0,0.1111111111111111,2,0,0,2,0,0,2,0.5263681592039802,0.06287214401107778
142,0,1,0,0.8472222222222222,0,2,0,0,2,1,0,0.8238805970149253,0.6868739903069467
143,0,0,0,0.8888888888888888,2,2,0,0,1,1,1,0.6572139303482587,0.608152550196169
144,1,1,0,0.986111111111111,1,1,1,1,2,0,0,0.056716417910447736,0.20048465266558968
145,0,1,1,0.9027777777777777,2,2,0,2,2,1,1,0.8039800995024875,0.7382760212324024
146,0,0,0,0.041666666666666664,1,1,1,1,1,0,3,0.013432835820895522,0.004909993076390492
147,0,0,0,0.013888888888888888,0,0,0,0,0,1,2,0.27263681592039796,0.0030983152550196165
148,0,0,1,0.41666666666666663,0,2,2,0,1,0,1,0.46019900497512434,0.22053427186706673
149,0,1,1,0.20833333333333331,0,2,2,2,0,1,3,0.5099502487562189,0.12146318947611356
150,0,1,1,0.1111111111111111,0,0,0,2,0,1,2,0.5004975124378109,0.06295291945534273
151,0,0,0,0.09722222222222221,0,0,0,0,0,0,3,0.763681592039801,0.07347103623355643
152,0,1,1,0.9722222222222222,2,2,2,0,1,1,1,0.8945273631840797,0.9129644588045235
153,0,1,1,0.861111111111111,2,2,2,2,2,0,2,0.6751243781094527,0.5996365105008078
154,0,1,1,0.08333333333333333,1,1,1,1,0,0,3,0.014427860696517386,0.01092776367412878
155,0,1,1,0.19444444444444442,0,0,0,0,0,1,0,0.6233830845771144,0.1308562197092084
156,0,0,0,0.3055555555555555,0,0,0,0,0,1,0,0.6557213930348259,0.208071774751904
157,0,1,1,0.3055555555555555,1,1,1,1,1,0,3,0.018905472636815884,0.0462843295638126
158,0,1,1,0.2222222222222222,2,0,2,0,2,0,3,0.4577114427860697,0.11599353796445881
159,0,0,0,0.1388888888888889,1,1,1,1,2,0,0,0.07412935323383085,0.02686360489268405
160,0,0,1,0.18055555555555555,2,2,0,0,0,1,2,0.3756218905472637,0.08605469651511655
161,0,1,0,0.2777777777777778,2,0,0,0,0,0,2,0.6383084577114428,0.18157742903300253
162,0,0,0,0.027777777777777776,0,0,0,0,0,1,2,0.5119402985074627,0.013431802446342025
163,0,0,0,0.736111111111111,0,2,2,2,2,1,0,0.5537313432835821,0.4545868912993307
164,0,1,1,0.15277777777777776,1,1,1,1,1,0,3,0.023383084577114438,0.024821140087699055
165,0,1,0,0.9583333333333333,1,1,1,1,2,0,3,0.01641791044776117,0.15516385875836605
